step,rg2,perim,cycles
24650000,51468.170758,112971,8110
24700000,51507.796239,113169,8159
24750000,51561.585904,113068,8204
24800000,51678.124995,113060,8192
24850000,51680.129270,113037,8302
24900000,51847.714085,113064,8230
24950000,51854.990837,113116,8040
25000000,51910.298327,113040,8148
25050000,51953.905178,113068,8178
25100000,52000.789129,113073,8224
25150000,51905.921855,112853,8324
25200000,51910.027368,112929,8247
25250000,51955.384492,112841,8414
25300000,51968.910910,112703,8468
25350000,51973.516980,112651,8352
25400000,52094.399363,112712,8473
25450000,52369.787395,112745,8411
25500000,52348.554572,113002,8352
25550000,52385.282566,113089,8173
25600000,52413.948220,113041,8245
25650000,52444.051237,113018,8218
25700000,52498.534721,112917,8217
25750000,52534.846467,112738,8331
25800000,52561.681123,112820,8345
25850000,52582.650561,112854,8360
25900000,52509.826909,112883,8365
25950000,52493.163141,112981,8317
26000000,52549.498086,113057,8224
26050000,52628.827417,113077,8214
26100000,52702.712876,113116,8228
26150000,52671.035553,113201,8160
26200000,52718.565949,113047,8249
26250000,52740.503222,113307,8136
26300000,52819.735103,113262,8156
26350000,52820.335103,113302,8254
26400000,52839.460676,113200,8347
26450000,52882.004605,113376,8252
26500000,52983.048433,113448,8196
26550000,53014.338110,113387,8241
26600000,53139.310917,113446,8160
26650000,53098.956007,113471,8011
26700000,53273.361758,113488,8056
26750000,53249.299036,113406,8033
26800000,53328.997554,113342,8130
26850000,53397.765312,113165,8232
26900000,53405.411992,113327,8240
26950000,53403.346206,113265,8198
27000000,53443.576112,113306,8075
27050000,53447.871293,113536,8022
27100000,53498.298754,113522,8136
27150000,53474.447043,113623,8120
27200000,53461.589821,113560,8175
27250000,53401.527459,113658,8054
27300000,53374.272341,113585,8209
27350000,53411.986349,113478,8305
27400000,53327.160068,113443,8219
27450000,53359.787362,113495,8150
27500000,53523.447268,113474,8334
27550000,53590.179748,113563,8298
27600000,53659.865308,113634,8282
27650000,53699.107587,113774,8275
27700000,54178.686217,113844,8147
27750000,54543.270855,113679,8122
27800000,54486.935264,113526,8257
27850000,54544.645769,113597,8163
27900000,54628.302580,113717,8168
27950000,54612.974041,113874,8148
28000000,54733.211666,113854,8109
28050000,54620.491574,113873,8120
28100000,54665.651526,113924,8132
28150000,54665.146295,113941,8091
28200000,54718.466499,113936,8183
28250000,54756.143708,114087,8124
28300000,54816.080751,114092,8149
28350000,54919.546675,114041,8111
28400000,54932.274472,114087,8102
28450000,54909.494704,114353,8143
28500000,54999.581310,114438,8003
28550000,55039.881968,114302,8022
28600000,55032.320814,114303,8039
28650000,54962.787900,114094,8186
28700000,54907.387396,114111,8211
28750000,54918.625833,114197,8131
28800000,54877.359054,114067,8226
28850000,54849.772077,114155,8224
28900000,54875.584318,114325,8038
28950000,54928.601588,114279,8083
29000000,55034.503423,114386,8005
29050000,56487.100614,114467,8057
29100000,56502.061388,114514,8103
29150000,56512.260344,114441,8215
29200000,56498.658572,114479,8082
29250000,56562.123283,114453,8030
29300000,56510.331541,114442,8081
29350000,56524.055110,114253,8084
29400000,56545.290225,114229,8040
29450000,56619.014275,114384,7921
29500000,56578.006889,114468,7907
29550000,56622.727998,114200,8055
29600000,56418.882303,114257,8051
29650000,56380.380860,114232,8065
29700000,56422.948134,114276,8103
29750000,56372.941239,114278,8056
29800000,56481.953629,114314,7978
29850000,56513.337413,114393,7955
29900000,56829.971838,114463,8015
29950000,56781.683361,114483,7992
30000000,57209.940515,114469,7940
30050000,57200.320826,114691,7891
30100000,57318.258901,114667,7889
30150000,57367.878979,114770,7972
30200000,57451.233402,114595,8055
30250000,57400.609034,114397,8241
30300000,59735.142479,114449,8179
30350000,60255.604127,114642,8157
30400000,61084.469153,114949,8004
30450000,61138.552685,114944,8076
30500000,61161.731839,114883,8118
30550000,61401.522531,114902,7998
30600000,61379.965896,114799,8101
30650000,61437.895412,114784,8099
30700000,61569.377952,114790,8032
30750000,61522.789920,114775,7974
30800000,61547.516217,114817,8025
30850000,61571.157879,114964,7991
30900000,61567.596902,114986,8075
30950000,61623.573840,114962,8050
31000000,61678.224232,114756,8039
31050000,61875.968385,114719,8061
31100000,61894.673860,114751,8023
31150000,61951.534543,114914,7915
31200000,61947.354432,115012,7874
31250000,62115.447630,115003,7964
31300000,62000.037237,114981,8201
31350000,61982.319100,115045,8183
31400000,62083.054282,115100,8091
31450000,62121.028671,115176,8061
31500000,62165.095916,115217,7940
31550000,62116.565118,115275,8041
31600000,62092.026980,115194,7932
31650000,62093.562213,115219,7915
31700000,62131.990846,115382,7878
31750000,62129.531049,115299,8059
31800000,62180.639153,115450,8008
31850000,62164.832361,115480,8030
31900000,62110.371240,115415,8011
31950000,62204.814880,115471,7980
32000000,62176.417566,115397,8012
32050000,62322.905402,115519,7974
32100000,62326.637690,115653,7856
32150000,62447.049802,115463,7949
32200000,62369.126913,115494,7911
32250000,62414.811568,115448,7820
32300000,62531.284787,115283,7903
32350000,62486.444159,115165,8015
32400000,62349.833473,115281,7994
32450000,62346.389239,115366,7932
32500000,62394.141443,115369,7930
32550000,62415.724712,115370,7872
32600000,62449.070282,115558,7821
32650000,62504.007736,115735,7641
32700000,62497.689065,115482,7694
32750000,62479.920147,115463,7784
32800000,62523.581365,115674,7800
32850000,62626.205737,115464,7844
32900000,62717.740420,115415,7826
32950000,62693.969524,115629,7752
33000000,62793.438890,115633,7843
33050000,62856.398388,115613,7791
33100000,62914.009093,115506,8011
33150000,62860.753677,115609,7915
33200000,62946.594253,115685,7855
33250000,63000.773121,115672,7973
33300000,62962.468664,115792,7856
33350000,63048.954801,115727,7738
33400000,63140.175287,115530,7828
33450000,62960.680046,115543,7868
33500000,63092.010808,115301,7973
33550000,63145.098179,115514,7859
33600000,63107.830240,115621,7839
33650000,63117.064997,115838,7757
33700000,63242.145767,115727,7876
33750000,63244.502209,115677,7928
33800000,63332.712574,115757,7882
33850000,63342.333687,115965,7819
33900000,63252.426259,116019,7745
33950000,63331.270797,115678,7847
34000000,63333.046474,115660,7903
34050000,63344.749632,115843,7774
34100000,63464.079947,115673,7766
34150000,63514.070913,115747,7915
34200000,63543.050516,115691,7844
34250000,63602.035741,115700,7838
34300000,63591.012638,115792,7776
34350000,63592.272436,115752,7937
34400000,63638.452862,115854,7931
34450000,63637.209681,115828,7942
34500000,63659.522819,116151,7691
34550000,63659.252237,116255,7571
34600000,63852.902292,116204,7638
34650000,63791.043586,116125,7778
34700000,63877.067388,116287,7720
34750000,64067.913318,116311,7615
34800000,64112.940198,116170,7855
34850000,64236.049309,116213,7660
34900000,64176.530532,116171,7698
