step,rg2,perim,cycles
19600000,3633417.258159,119192,7386
19650000,3625530.711742,118994,7351
19700000,3642872.981194,119065,7402
19750000,3644634.704102,119066,7326
19800000,3637722.440826,118952,7404
19850000,3660630.682585,119104,7375
19900000,3561442.386425,119149,7366
19950000,3585977.964351,119129,7364
20000000,3590721.735656,118998,7379
20050000,3587828.047760,119116,7296
20100000,3513921.046088,119029,7343
20150000,3604760.638999,119007,7324
20200000,3606078.032665,119241,7355
20250000,3607995.531188,119360,7267
20300000,3669726.241134,119196,7309
20350000,3661860.102828,119346,7249
20400000,3662644.449189,119409,7232
20450000,3668826.578139,119515,7178
20500000,3669320.538740,119597,7146
20550000,3673062.007843,119508,7253
20600000,3666027.480482,119452,7246
20650000,3661700.549871,119463,7246
20700000,3662731.121124,119475,7345
20750000,3655894.307744,119320,7410
20800000,3666962.905664,119188,7437
20850000,3666273.059091,119204,7383
20900000,3652317.337515,119379,7181
20950000,3660450.653909,118992,7282
21000000,3641000.141230,119216,7269
21050000,3644056.574071,119249,7192
21100000,3632639.825744,119333,7229
21150000,3635720.176517,119226,7194
21200000,3646346.481365,119162,7400
21250000,3643691.430455,119250,7444
21300000,3654796.364314,119243,7406
21350000,3642097.268365,119185,7403
21400000,3643684.699501,119002,7401
21450000,3625594.428905,119093,7388
21500000,3624696.802230,119227,7400
21550000,3632926.171200,119102,7401
21600000,3637682.259812,119126,7391
21650000,3632022.775430,119228,7319
21700000,3631747.985618,119258,7251
21750000,3618361.435524,119111,7252
21800000,3611015.248046,119143,7270
21850000,3608062.487219,119121,7242
21900000,3598053.816488,118953,7334
21950000,3563623.862159,119038,7376
22000000,3562286.792429,119174,7348
22050000,3565222.243322,119049,7409
22100000,3564500.780136,119120,7432
22150000,3564608.934809,119230,7307
22200000,3559853.291659,119161,7370
22250000,3556835.682066,119262,7326
22300000,3553597.001826,119306,7279
22350000,3539358.012180,119382,7284
22400000,3546508.384983,119182,7340
22450000,3548794.157154,119255,7322
22500000,3533689.345563,119307,7281
22550000,3542628.880192,119147,7300
22600000,3527262.757608,119225,7344
22650000,3517902.739529,119157,7376
22700000,3513821.635538,118986,7415
22750000,3424294.192626,118945,7412
22800000,3422333.531214,119188,7456
22850000,3424391.463298,119150,7384
22900000,3428347.142763,119177,7251
22950000,3429160.471815,119135,7319
23000000,3435094.793458,119255,7272
23050000,3427076.917375,119215,7288
23100000,3445122.844268,119211,7337
23150000,3381600.589454,119443,7195
23200000,3379526.996803,119468,7150
23250000,3348348.655409,119377,7280
23300000,3349388.803709,119363,7338
23350000,3354147.312858,119239,7248
23400000,3343870.913955,119533,7134
23450000,3347842.332129,119402,7390
23500000,3352427.416774,119296,7361
23550000,3438389.713583,119093,7415
23600000,3441501.484363,119212,7373
23650000,3466124.137965,119234,7353
23700000,3468341.537512,119247,7326
23750000,3467798.013440,119283,7315
23800000,3470174.132262,119323,7317
23850000,3437647.531441,119342,7290
23900000,3501625.302526,119322,7310
23950000,3498629.605377,119271,7344
24000000,3489008.361836,119179,7496
24050000,3502759.890667,119059,7396
24100000,3505490.547302,119196,7412
24150000,3478940.555000,119194,7365
24200000,3482269.143910,119192,7272
24250000,3263730.868104,119190,7275
24300000,3251971.988860,119260,7280
24350000,3258165.038458,119215,7285
24400000,3249444.707575,119179,7222
24450000,3247291.826304,119265,7287
24500000,3206302.167693,119361,7204
24550000,3180259.065334,119338,7322
24600000,3171232.076968,119330,7303
24650000,3177165.399563,119197,7327
24700000,3180331.843371,119157,7442
24750000,3170547.047806,119180,7377
24800000,3053087.955802,119283,7251
24850000,3048314.963127,119365,7317
24900000,3052536.295542,119444,7259
24950000,3049012.377429,119525,7267
25000000,3013916.783100,119447,7347
25050000,3010749.142290,119434,7232
25100000,2988501.698116,119432,7350
25150000,2935694.018312,119223,7365
25200000,2931851.267479,119094,7460
25250000,2934718.396775,119198,7481
25300000,2588018.447792,119204,7394
25350000,2592019.371052,119367,7350
25400000,2536563.808343,119302,7268
25450000,2565754.905760,119281,7243
25500000,2559570.227056,119340,7196
25550000,2558985.746509,119386,7252
25600000,2570174.657951,119416,7322
25650000,2570409.420870,119193,7391
25700000,2563309.178230,119435,7382
25750000,2554070.915956,119506,7296
25800000,2550091.441231,119409,7268
25850000,2540448.828099,119321,7252
25900000,2540255.934377,119333,7297
25950000,2539994.183077,119263,7243
26000000,2512281.325009,119281,7254
26050000,2511423.906699,119059,7401
26100000,2509426.005477,119206,7429
26150000,2514548.493967,119280,7410
26200000,2489588.990455,119249,7351
26250000,2471931.534889,119338,7268
26300000,2469830.998755,119494,7238
26350000,2464182.096192,119550,7362
26400000,2461570.850760,119398,7311
26450000,2463033.609780,119256,7351
26500000,2477616.438883,119245,7366
26550000,2470344.341450,119278,7273
26600000,2461614.021350,119241,7336
26650000,2466026.810137,119309,7276
26700000,2449491.945639,119488,7235
26750000,2451463.101473,119461,7256
26800000,2457459.881987,119431,7240
26850000,2459339.717860,119509,7342
26900000,2462045.785234,119470,7286
26950000,2463362.027439,119635,7153
27000000,2458479.912685,119603,7136
27050000,2456895.615799,119659,7105
27100000,2486535.962505,119600,7215
27150000,2486763.645752,119517,7239
27200000,2478917.433556,119446,7287
27250000,2473176.190972,119387,7407
27300000,2464003.319414,119514,7377
27350000,2461173.486214,119471,7386
27400000,2446082.686714,119527,7309
27450000,2440875.530806,119567,7239
27500000,2436817.273296,119306,7416
27550000,2426852.654167,119361,7280
27600000,2442908.179166,119498,7247
27650000,2434396.008281,119440,7096
27700000,2436701.094087,119392,7246
27750000,2428818.006101,119466,7296
27800000,2414816.950070,119319,7345
27850000,2418079.129163,119254,7352
27900000,2414181.426320,119266,7352
27950000,2424995.855951,119462,7199
28000000,2422980.894620,119621,7180
28050000,2417332.483073,119415,7266
28100000,2422862.607103,119420,7167
28150000,2420233.908023,119315,7245
28200000,2416836.738145,119374,7183
28250000,2382427.652795,119458,7110
28300000,2383715.659290,119504,7119
28350000,2386691.816850,119619,7035
28400000,2380310.068896,119633,7102
28450000,2382680.250066,119507,7138
28500000,2399864.789963,119423,7274
28550000,2401265.332350,119504,7292
28600000,2412791.204919,119338,7314
28650000,2381835.771096,119343,7366
28700000,2408141.216927,119157,7332
28750000,2413063.298543,119356,7340
28800000,2379025.782372,119250,7283
28850000,2371301.250940,119188,7312
28900000,2378284.424676,119282,7272
28950000,2380164.024651,119207,7311
29000000,2559257.442609,119166,7361
29050000,2549429.340864,119169,7452
29100000,2478554.702918,119129,7406
29150000,2455115.977181,119331,7467
29200000,2437584.392694,119343,7492
29250000,2315631.614848,119355,7310
29300000,2297313.960256,119373,7376
29350000,2290265.821674,119428,7322
29400000,2284902.359675,119493,7187
29450000,2289544.408047,119613,7142
29500000,2288784.047290,119511,7145
29550000,2288878.574794,119460,7252
29600000,2294546.926437,119587,7241
29650000,2296812.889195,119445,7346
29700000,2299072.655981,119183,7403
29750000,2301234.571471,119035,7519
29800000,2302583.555160,119039,7447
29850000,2304220.676068,119249,7312
29900000,2304864.304742,119277,7387
29950000,2304381.564041,119474,7246
30000000,2308045.983974,119419,7274
30050000,2309284.275659,119440,7291
30100000,2309143.662398,119476,7206
30150000,2523339.614643,119449,7338
30200000,2485132.514590,119566,7268
30250000,2493400.867306,119482,7354
30300000,2504901.022688,119369,7464
30350000,2508660.428642,119411,7370
30400000,2511591.855222,119390,7310
30450000,2502545.540392,119612,7259
30500000,2511114.192252,119612,7325
30550000,2516149.981179,119734,7169
30600000,2496113.894229,119552,7272
30650000,2502531.319079,119438,7234
30700000,2467101.865153,119337,7266
30750000,2468938.002005,119247,7296
30800000,2476283.793836,119348,7358
30850000,2457183.101693,119410,7211
30900000,2458715.317640,119332,7300
30950000,2461712.647545,119181,7427
31000000,2456112.979922,119272,7331
31050000,2460529.603419,119307,7332
31100000,2462889.329214,119427,7205
31150000,2461048.619587,119247,7292
31200000,2453904.266365,119431,7302
31250000,2436742.448984,119465,7245
31300000,2434216.958951,119443,7210
31350000,2434132.895985,119550,7229
31400000,2441823.460560,119455,7355
31450000,2471416.154803,119569,7246
31500000,2475542.760715,119718,7131
31550000,2474150.917949,119751,7125
31600000,2469864.094471,119576,7240
31650000,2287415.424733,119580,7208
31700000,2103821.097003,119617,7208
31750000,2109894.483288,119613,7169
31800000,2107979.301289,119824,7143
31850000,2104458.681119,119523,7366
31900000,2101373.761917,119536,7313
31950000,2090162.561551,119643,7309
32000000,2083581.946675,119869,7204
32050000,2078522.037834,119773,7313
32100000,2146760.254013,119608,7321
32150000,2152777.879153,119714,7353
32200000,2158201.062061,119947,7231
32250000,2184989.898695,119959,7298
32300000,2214672.721786,119954,7157
32350000,2292235.906859,119863,7206
32400000,2335575.994207,119830,7189
32450000,2327603.314397,119892,7244
32500000,2325788.927415,119796,7184
32550000,2311831.734030,119703,7168
32600000,2312054.608885,119733,7170
32650000,2329116.198229,119859,7149
32700000,2337186.926532,119724,7205
32750000,2338453.021469,119666,7155
32800000,2340090.960481,119691,7201
32850000,2345729.253353,119601,7204
32900000,2343793.551551,119597,7215
32950000,2320239.114278,119725,7178
33000000,2317126.741558,119755,7134
33050000,2325385.857022,119569,7214
33100000,2322404.053365,119534,7188
33150000,2324548.058458,119634,7183
33200000,2328241.271164,119597,7325
33250000,2335311.255692,119347,7272
33300000,2338469.608047,119514,7319
33350000,2333389.464392,119603,7300
33400000,2342141.363096,119685,7211
33450000,2342607.477390,119694,7277
33500000,2407787.992345,119608,7270
33550000,2398789.453183,119628,7339
33600000,2392737.807453,119594,7243
33650000,2390656.154539,119637,7260
33700000,2388241.466010,119589,7300
33750000,2386288.553476,119679,7190
33800000,2368709.297860,119655,7252
33850000,2369058.944094,119614,7200
33900000,2351249.179603,119537,7250
33950000,2348355.633785,119593,7286
34000000,2352720.182647,119409,7292
34050000,2356692.576301,119361,7283
34100000,2354454.148967,119243,7379
34150000,2353786.425866,119451,7196
34200000,2349974.164547,119543,7198
34250000,2343052.501689,119348,7385
34300000,2431459.983194,119487,7226
34350000,2428208.191374,119520,7180
34400000,2422952.054303,119593,7324
34450000,2423574.089365,119674,7272
34500000,2424593.588228,119562,7316
34550000,2420992.180421,119596,7426
34600000,2417931.712291,119622,7288
34650000,2355611.253325,119438,7327
34700000,2350933.006842,119478,7338
34750000,2353811.883626,119267,7471
34800000,2344064.959499,119354,7453
34850000,2341530.715783,119332,7375
34900000,2335661.840668,119223,7550
34950000,2336979.898948,119201,7554
35000000,2334774.151832,119213,7508
35050000,2332517.686307,119233,7522
35100000,2329125.486024,119383,7466
35150000,2321437.687825,119408,7370
35200000,2318897.953034,119483,7374
35250000,2319717.971702,119367,7363
35300000,2306617.024264,119452,7405
35350000,2335837.113373,119388,7368
35400000,2328366.266156,119380,7383
35450000,2325996.701054,119531,7367
35500000,2328110.908349,119603,7298
35550000,2327409.717639,119716,7203
35600000,2330098.906389,119607,7267
35650000,2329821.356089,119640,7249
35700000,2335572.546593,119591,7152
35750000,2323398.193546,119758,7149
35800000,2316668.133506,119710,7246
35850000,2329320.059255,119531,7327
35900000,2327819.504966,119438,7363
35950000,2309700.320857,119435,7234
36000000,2304655.853174,119210,7256
36050000,2302409.979485,119374,7334
36100000,2301590.970881,119392,7311
36150000,2311593.721141,119461,7211
36200000,2411993.004219,119500,7239
36250000,2406282.414018,119493,7332
36300000,2380287.158417,119530,7341
36350000,2379832.834044,119581,7197
36400000,2381645.888088,119576,7154
36450000,2383866.067886,119413,7322
36500000,2384794.066241,119509,7236
36550000,2162294.862867,119515,7251
36600000,2160069.111998,119628,7361
36650000,2186518.964405,119484,7332
36700000,2191788.139177,119576,7263
36750000,2209190.480331,119573,7231
36800000,2220783.373304,119710,7110
36850000,2226869.879661,119733,7203
36900000,2224108.393151,119525,7387
36950000,2225861.925820,119445,7367
37000000,2228590.519623,119453,7365
37050000,2229610.177810,119451,7230
37100000,2235132.459893,119285,7383
37150000,2225547.901212,119359,7260
37200000,2227667.357985,119484,7396
37250000,2226019.292868,119667,7222
37300000,2210273.113043,119776,7090
37350000,2205338.145321,119892,7172
37400000,2200224.919347,119846,7229
37450000,2200552.372863,119695,7331
37500000,2207799.587751,119814,7282
37550000,2196579.276033,119832,7167
37600000,2194765.054480,119700,7112
37650000,2185380.558099,119759,7137
37700000,2176297.618777,119697,7215
37750000,2182370.937003,119652,7226
37800000,2177605.078184,119613,7211
37850000,2176794.989770,119318,7408
37900000,2171909.108005,119221,7456
37950000,2173230.756096,119442,7236
38000000,2174589.434250,119652,7150
38050000,2166242.274211,119807,7169
38100000,2171767.534303,119641,7238
38150000,2174196.434266,119723,7159
38200000,2173495.363171,119974,7066
38250000,2169551.068293,119951,7080
38300000,2169477.055950,119806,7167
38350000,2069938.752370,119769,7218
38400000,2069297.258674,119565,7422
38450000,2073232.473778,119601,7365
38500000,2074234.077475,119554,7397
38550000,2074080.932118,119458,7454
38600000,2071090.854062,119398,7375
38650000,2049927.402928,119433,7354
38700000,2050428.008136,119354,7477
38750000,2057459.553572,119315,7430
38800000,2060993.410384,119397,7353
38850000,2064285.747461,119444,7230
38900000,2070640.453197,119594,7223
38950000,2088564.639266,119557,7245
39000000,2078710.751025,119520,7234
39050000,2078335.931286,119516,7220
39100000,2079492.697617,119687,7127
39150000,2082443.771131,119622,7259
39200000,2086999.911700,119788,7161
39250000,2089196.785426,119673,7165
39300000,2088015.218256,119608,7234
39350000,2079608.854834,119768,7199
39400000,2139063.606465,119858,7168
39450000,2146906.035848,119705,7321
39500000,2178453.486705,119532,7285
39550000,2180477.665989,119520,7340
39600000,2178242.286716,119478,7383
39650000,2182657.369604,119394,7281
39700000,2168478.872303,119397,7338
39750000,2174155.702310,119549,7316
39800000,2174919.461185,119555,7275
39850000,2171644.531338,119453,7222
39900000,2169065.335752,119530,7338
39950000,2175174.864505,119379,7344
40000000,2174002.895411,119503,7418
